month,revenue,marketing_spend,operating_expenses,new_customers,total_customers,date,CAC,ARPU,lost_customers,churn_rate,average_lifespan,LTV,burn_rate,runway_months,LTV_CAC_ratio
2003-08-01,10391,5983,12917,128,4493,Aug-2003,46.7421875,2.312708657912308,19.0,0.004333941605839416,230.73684210526315,533.6270924361872,8509,11.8,11.42
2003-09-01,23986,6547,16429,90,4553,Sep-2003,72.74444444444444,5.268174829782561,30.0,0.006677053193857111,149.76666666666665,788.9969836737681,-1010,0.0,10.85
2003-10-01,22666,2164,19138,112,4638,Oct-2003,19.321428571428573,4.887020267356619,27.0,0.0059301559411377115,168.62962962962962,824.0964176768402,-1364,0.0,42.65
2003-11-01,15892,6277,10530,72,4688,Nov-2003,87.18055555555556,3.3899317406143346,22.0,0.004743423889607589,210.81818181818184,714.6592460440585,915,109.3,8.2
2003-12-01,13561,2822,9960,153,4820,Dec-2003,18.444444444444443,2.8134854771784235,21.0,0.004479522184300341,223.23809523809524,628.0771389053547,-779,0.0,34.05
2004-01-01,16184,2943,15045,124,4928,Jan-2004,23.733870967741936,3.284090909090909,16.0,0.0033195020746887966,301.25,989.3323863636364,1804,55.4,41.68
2004-02-01,29483,6425,9048,97,5006,Feb-2004,66.23711340206185,5.889532560926888,19.0,0.0038555194805194805,259.36842105263156,1527.5587610656685,-14010,0.0,23.06
2004-03-01,18392,2774,13772,106,5087,Mar-2004,26.169811320754718,3.615490465893454,25.0,0.004994007191370355,200.24,723.9658108905053,-1846,0.0,27.66
2004-04-01,23067,4198,10529,167,5225,Apr-2004,25.137724550898202,4.414736842105263,29.0,0.005700805976017299,175.41379310344828,774.4057350272233,-8340,0.0,30.81
2004-05-01,25265,5156,10964,149,5358,May-2004,34.604026845637584,4.715378872713699,16.0,0.003062200956937799,326.5625,1539.8659131205673,-9145,0.0,44.5
2004-06-01,29488,6242,15137,173,5521,Jun-2004,36.08092485549133,5.341061401919942,10.0,0.001866368047779022,535.8,2861.7406991487046,-8109,0.0,79.31
2004-07-01,12454,5695,8963,83,5579,Jul-2004,68.6144578313253,2.2322996952858936,25.0,0.004528165187466039,220.83999999999997,492.98106470693665,2204,45.4,7.18
2004-08-01,21837,5452,8536,56,5608,Aug-2004,97.35714285714286,3.893901569186876,27.0,0.004839576985122782,206.62962962962962,804.5954390553178,-7849,0.0,8.26
2004-09-01,24039,2914,15340,105,5688,Sep-2004,27.752380952380953,4.22626582278481,25.0,0.004457917261055635,224.32,948.0359493670885,-5785,0.0,34.16
2004-10-01,29115,3308,15179,114,5779,Oct-2004,29.017543859649123,5.038068870046721,23.0,0.004043600562587905,247.30434782608694,1245.936336209815,-10628,0.0,42.94
2004-11-01,20965,6177,15967,96,5856,Nov-2004,64.34375,3.5800887978142075,19.0,0.003287766049489531,304.1578947368421,1088.9122717141213,1179,84.8,16.92
2004-12-01,19762,2513,19871,197,6034,Dec-2004,12.756345177664974,3.2751077229035466,19.0,0.003244535519125683,308.2105263157895,1009.4226750170089,2622,38.1,79.13
2005-01-01,15056,3920,19916,68,6078,Jan-2005,57.64705882352941,2.477130635077328,24.0,0.003977461054027179,251.41666666666666,622.7919271690248,8780,11.4,10.8
2005-02-01,24948,5594,16734,195,6261,Feb-2005,28.68717948717949,3.984666986104456,12.0,0.0019743336623889436,506.50000000000006,2018.2338284619073,-2620,0.0,70.35
2005-03-01,18110,6841,8845,175,6426,Mar-2005,39.09142857142857,2.8182384064737005,10.0,0.0015971889474524837,626.1,1764.499066293184,-2424,0.0,45.14
2005-04-01,23773,3409,19795,188,6596,Apr-2005,18.132978723404257,3.6041540327471195,18.0,0.0028011204481792717,357.0,1286.6829896907216,-569,0.0,70.96
2005-05-01,27412,6802,13777,98,6667,May-2005,69.40816326530613,4.111594420278986,27.0,0.004093389933292905,244.29629629629628,1004.4472887466737,-6833,0.0,14.47
2005-06-01,10502,6566,11036,162,6801,Jun-2005,40.53086419753087,1.544184678723717,28.0,0.004199790010499475,238.1071428571429,367.68140189467937,7100,14.1,9.07
2005-07-01,16910,5190,13947,87,6863,Jul-2005,59.6551724137931,2.4639370537665743,25.0,0.003675930010292604,272.04,670.289436106659,2227,44.9,11.24
2005-08-01,22685,6491,10494,113,6954,Aug-2005,57.442477876106196,3.2621512798389416,22.0,0.0032055952207489437,311.95454545454544,1017.6429197061207,-5700,0.0,17.72
2005-09-01,10206,3555,10719,118,7060,Sep-2005,30.127118644067796,1.4456090651558073,12.0,0.001725625539257981,579.5,837.7304532577904,4068,24.6,27.81
2005-10-01,27868,2804,9884,185,7235,Oct-2005,15.156756756756756,3.851831375259157,10.0,0.00141643059490085,706.0,2719.3929509329646,-15180,0.0,179.42
2005-11-01,25934,3279,12349,165,7383,Nov-2005,19.87272727272727,3.512664228633347,17.0,0.002349689011748445,425.5882352941177,1494.9485702448392,-10306,0.0,75.23
2005-12-01,27247,5577,19393,114,7479,Dec-2005,48.921052631578945,3.6431341088380798,18.0,0.002438033319788704,410.1666666666667,1494.2921736417525,-2277,0.0,30.54
2006-01-01,29174,4901,13179,80,7547,Jan-2006,61.2625,3.8656419769444814,12.0,0.001604492579221821,623.25,2409.261362130648,-11094,0.0,39.33
2006-02-01,18755,3387,18902,181,7706,Feb-2006,18.712707182320443,2.4338178043083314,22.0,0.002915065588975752,343.04545454545456,834.9101349597718,3534,28.3,44.62
2006-03-01,22383,6688,14610,162,7841,Mar-2006,41.28395061728395,2.854610381328912,27.0,0.003503763301323644,285.4074074074074,814.7269480933554,-1085,0.0,19.73
2006-04-01,28141,4761,14430,158,7980,Apr-2006,30.132911392405063,3.526441102756892,19.0,0.0024231603111847977,412.68421052631584,1455.3065624587787,-8950,0.0,48.3
2006-05-01,24820,4679,15154,118,8077,May-2006,39.652542372881356,3.0729231150179523,21.0,0.002631578947368421,380.0,1167.710783706822,-4987,0.0,29.45
2006-06-01,17574,4106,18145,169,8219,Jun-2006,24.29585798816568,2.1382163280204405,27.0,0.0033428253064256533,299.14814814814815,639.6434548674481,4677,21.4,26.33
2006-07-01,16374,6223,14488,137,8344,Jul-2006,45.42335766423358,1.9623681687440078,12.0,0.0014600316340187371,684.9166666666666,1344.0586649089166,4337,23.1,29.59
2006-08-01,11678,6831,12737,116,8446,Aug-2006,58.88793103448276,1.382666350935354,14.0,0.0016778523489932886,596.0,824.069145157471,7890,12.7,13.99
2006-09-01,29626,4768,14525,124,8559,Sep-2006,38.45161290322581,3.4613856758967168,11.0,0.001302391664693346,767.8181818181819,2657.7148562385155,-10333,0.0,69.12
2006-10-01,11059,5953,11850,94,8627,Oct-2006,63.329787234042556,1.2819056450678104,26.0,0.0030377380535109243,329.1923076923077,421.9934775436688,6744,14.8,6.66
2006-11-01,26198,5186,8689,53,8665,Nov-2006,97.84905660377359,3.0234275822273515,15.0,0.0017387272516517908,575.1333333333333,1738.8739834583573,-12323,0.0,17.77
2006-12-01,19914,5280,18142,156,8802,Dec-2006,33.84615384615385,2.2624403544648946,19.0,0.002192729371032891,456.05263157894734,1031.7918774441216,3508,28.5,30.48
2007-01-01,29541,4573,13175,100,8873,Jan-2007,45.73,3.3293136481460612,29.0,0.003294705748693479,303.51724137931035,1010.5040941717804,-11793,0.0,22.1
2007-02-01,20817,6616,16648,99,8954,Feb-2007,66.82828282828282,2.324882733973643,18.0,0.0020286261692775837,492.94444444444446,1146.0380276971187,2447,40.9,17.15
2007-03-01,20921,4599,13078,55,8986,Mar-2007,83.61818181818182,2.328177164478077,23.0,0.002568684386866205,389.30434782608694,906.3694926407261,-3244,0.0,10.84
2007-04-01,19789,6033,18322,108,9082,Apr-2007,55.861111111111114,2.178925346839903,12.0,0.0013354106387714222,748.8333333333334,1631.6519305586141,4566,21.9,29.21
2007-05-01,26312,2236,13448,174,9242,May-2007,12.850574712643677,2.8470028132438867,14.0,0.0015415106804668576,648.7142857142857,1846.89139642007,-10628,0.0,143.72
2007-06-01,21252,3304,9179,192,9407,Jun-2007,17.208333333333332,2.259168704156479,27.0,0.002921445574550963,342.29629629629625,773.3050801412659,-8769,0.0,44.94
2007-07-01,12693,5430,19757,79,9460,Jul-2007,68.73417721518987,1.341754756871036,26.0,0.0027638992239821408,361.8076923076923,485.4571922263783,12494,8.0,7.06
2007-08-01,23931,3301,17074,171,9601,Aug-2007,19.304093567251464,2.4925528590771795,30.0,0.003171247357293869,315.3333333333333,785.9850015623372,-3556,0.0,40.72
2007-09-01,13627,4541,14406,174,9748,Sep-2007,26.097701149425287,1.3979277800574477,27.0,0.0028122070617643997,355.59259259259255,497.09276356783533,5320,18.8,19.05
2007-10-01,26157,4051,16591,86,9818,Oct-2007,47.104651162790695,2.6641882257078833,16.0,0.0016413623307345096,609.25,1623.1566765125278,-5515,0.0,34.46
2007-11-01,20173,2441,14907,173,9981,Nov-2007,14.109826589595375,2.0211401663160005,10.0,0.001018537380321858,981.8,1984.3554152890492,-2825,0.0,140.64
2007-12-01,28047,4076,16800,150,10114,Dec-2007,27.173333333333332,2.7730868103618747,17.0,0.0017032361486824968,587.1176470588235,1628.1282031895219,-7171,0.0,59.92
2008-01-01,20230,5180,9638,84,10175,Jan-2008,61.666666666666664,1.9882063882063883,23.0,0.0022740755388570297,439.7391304347826,874.292148274757,-5412,0.0,14.18
2008-02-01,25707,4657,13671,136,10286,Feb-2008,34.24264705882353,2.4992222438265603,25.0,0.002457002457002457,407.0,1017.18345323741,-7379,0.0,29.71
2008-03-01,21494,5798,14928,183,10444,Mar-2008,31.683060109289617,2.058023745691306,25.0,0.0024304880419988334,411.44,846.753289927231,-768,0.0,26.73
2008-04-01,11306,2804,18340,67,10493,Apr-2008,41.850746268656714,1.077480224911846,18.0,0.0017234775947912676,580.2222222222223,625.1779704988512,9838,10.2,14.94
2008-05-01,16776,2074,9382,162,10628,May-2008,12.802469135802468,1.5784719608581106,27.0,0.002573144000762413,388.6296296296296,613.4409735290427,-5320,0.0,47.92
2008-06-01,19474,4175,9403,78,10694,Jun-2008,53.52564102564103,1.8210211333458013,12.0,0.0011290929619872036,885.6666666666666,1612.8177170999313,-5896,0.0,30.13
2008-07-01,17526,5924,17011,126,10798,Jul-2008,47.01587301587302,1.623078347842193,22.0,0.0020572283523471106,486.09090909090907,788.9636296283824,5409,18.5,16.78
2008-08-01,15530,4089,11292,108,10887,Aug-2008,37.861111111111114,1.4264719390098282,19.0,0.0017595851083533989,568.3157894736842,810.6865261804276,-149,0.0,21.41
2008-09-01,13748,2040,17011,175,11036,Sep-2008,11.657142857142857,1.2457412105835448,26.0,0.0023881693763203823,418.7307692307692,521.6301753701174,5303,18.9,44.75
2008-10-01,23545,4081,8419,194,11204,Oct-2008,21.036082474226806,2.1014816137093897,26.0,0.002355926060166727,424.46153846153845,891.998118803724,-11045,0.0,42.4
2008-11-01,10663,6683,12517,158,11332,Nov-2008,42.29746835443038,0.9409636427815037,30.0,0.0026776151374509104,373.46666666666664,351.41855512413224,8537,11.7,8.31
2008-12-01,11998,3622,11302,71,11385,Dec-2008,51.014084507042256,1.053842775581906,18.0,0.0015884221673138016,629.5555555555555,663.4525740496755,2926,34.2,13.01
2009-01-01,17994,2341,15857,117,11479,Jan-2009,20.00854700854701,1.567558149664605,23.0,0.00202020202020202,495.0,775.9412840839794,204,490.2,38.78
2009-02-01,27879,6052,17700,118,11573,Feb-2009,51.28813559322034,2.408969152337337,24.0,0.002090774457705375,478.2916666666667,1152.1898708200122,-4127,0.0,22.47
2009-03-01,13304,4074,15870,98,11660,Mar-2009,41.57142857142857,1.1409948542024013,11.0,0.0009504882053054523,1052.0909090909092,1200.430313425854,6640,15.1,28.88
2009-04-01,28237,2645,13693,190,11835,Apr-2009,13.921052631578947,2.3858893113645965,15.0,0.001286449399656947,777.3333333333333,1854.6312913674128,-11899,0.0,133.22
2009-05-01,23808,6826,8767,158,11963,May-2009,43.20253164556962,1.9901362534481317,30.0,0.0025348542458808617,394.5,785.108751985288,-8215,0.0,18.17
2009-06-01,16585,6263,10044,135,12075,Jun-2009,46.39259259259259,1.3734989648033127,23.0,0.0019225946668895762,520.1304347826086,714.39861373661,-278,0.0,15.4
2009-07-01,27675,2609,18331,102,12151,Jul-2009,25.57843137254902,2.2775903217842153,26.0,0.0021532091097308487,464.42307692307696,1057.7655052132461,-6735,0.0,41.35
2009-08-01,29965,2454,19221,172,12301,Aug-2009,14.267441860465116,2.4359808145679214,22.0,0.0018105505719693852,552.3181818181819,1345.4364944461279,-8290,0.0,94.3
2009-09-01,21649,4953,9549,136,12414,Sep-2009,36.419117647058826,1.743918156919607,23.0,0.0018697666856353143,534.8260869565217,932.6929238377428,-7147,0.0,25.61
2009-10-01,11636,3708,17956,180,12566,Oct-2009,20.6,0.9259907687410472,28.0,0.002255517963589496,443.35714285714283,410.54462154112,10028,10.0,19.93
2009-11-01,27082,5472,14140,91,12629,Nov-2009,60.13186813186813,2.1444294876870695,28.0,0.002228234919624383,448.78571428571433,962.38931936699,-7470,0.0,16.0
2009-12-01,14737,4969,18837,147,12749,Dec-2009,33.802721088435376,1.1559337987293121,27.0,0.002137936495367804,467.74074074074076,540.6773312649068,9069,11.0,16.0
2010-01-01,24555,5028,11716,158,12885,Jan-2010,31.82278481012658,1.9057043073341093,22.0,0.001725625539257981,579.5,1104.3556461001165,-7811,0.0,34.7
2010-02-01,23877,6797,12481,100,12958,Feb-2010,67.97,1.8426454699799353,27.0,0.0020954598370197903,477.22222222222223,879.3513659515357,-4599,0.0,12.94
2010-03-01,10854,4681,15898,134,13067,Mar-2010,34.93283582089552,0.8306420754572588,25.0,0.0019293100787158512,518.32,430.5384005510064,9725,10.3,12.32
2010-04-01,15855,5629,14548,176,13224,Apr-2010,31.982954545454547,1.198956442831216,19.0,0.00145404453968011,687.7368421052632,824.5665178145001,4322,23.1,25.78
2010-05-01,17392,6225,10293,70,13268,May-2010,88.92857142857143,1.310823032861019,26.0,0.0019661222020568663,508.61538461538464,666.7047610213122,-874,0.0,7.5
2010-06-01,23949,5067,12837,93,13351,Jun-2010,54.483870967741936,1.7937982173619953,10.0,0.0007536930961712391,1326.8,2380.011474795895,-6045,0.0,43.68
2010-07-01,28091,3386,15758,188,13518,Jul-2010,18.01063829787234,2.0780440893623315,21.0,0.0015729158864504532,635.7619047619047,1321.1412684322136,-8947,0.0,73.35
2010-08-01,15791,5776,18900,152,13656,Aug-2010,38.0,1.1563415348564734,14.0,0.001035656162154165,965.5714285714284,1116.5303477278433,8885,11.3,29.38
2010-09-01,14931,4866,14793,117,13760,Sep-2010,41.58974358974359,1.0851017441860464,13.0,0.0009519625073227885,1050.4615384615386,1139.8576475849732,4728,21.2,27.41
2010-10-01,29894,6788,15638,178,13924,Oct-2010,38.13483146067416,2.146940534329216,14.0,0.0010174418604651163,982.8571428571429,2110.1358394550007,-7468,0.0,55.33
2010-11-01,10202,5363,15993,141,14050,Nov-2010,38.0354609929078,0.7261209964412811,15.0,0.0010772766446423441,928.2666666666667,674.0339169632266,11154,9.0,17.72
2010-12-01,21447,6889,14007,73,14103,Dec-2010,94.36986301369863,1.520740268028079,20.0,0.0014234875444839859,702.5,1068.3200382897255,-551,0.0,11.32
2011-01-01,22688,6124,13542,174,14250,Jan-2011,35.195402298850574,1.592140350877193,27.0,0.0019144862795149968,522.3333333333334,831.6279766081872,-3022,0.0,23.63
2011-02-01,14389,2148,17092,190,14429,Feb-2011,11.305263157894737,0.9972278051146996,11.0,0.0007719298245614035,1295.4545454545455,1291.8632929894973,4851,20.6,114.27
2011-03-01,12327,5850,19276,160,14566,Mar-2011,36.5625,0.8462858712069202,23.0,0.001594012059047751,627.3478260869565,530.9156015497674,12799,7.8,14.52
2011-04-01,18004,4058,14356,147,14700,Apr-2011,27.60544217687075,1.2247619047619047,13.0,0.0008924893587807223,1120.4615384615383,1372.298608058608,410,243.9,49.71
2011-05-01,29315,3136,18201,188,14866,May-2011,16.680851063829788,1.971949414771963,22.0,0.0014965986394557824,668.1818181818181,1317.6207453249024,-7978,0.0,78.99
2011-06-01,17777,2186,16433,66,14919,Jun-2011,33.121212121212125,1.1915677994503653,13.0,0.0008744786761738194,1143.5384615384614,1362.6036082022406,842,118.8,41.14
2011-07-01,10197,4854,15380,148,15043,Jul-2011,32.7972972972973,0.6778568104766336,24.0,0.0016086869093102755,621.625,421.37273981253736,10037,10.0,12.85
2011-08-01,11930,3250,10385,131,15163,Aug-2011,24.80916030534351,0.7867836180175427,11.0,0.0007312371202552682,1367.5454545454545,1075.9623605307177,1705,58.7,43.37
2011-09-01,21774,3333,12268,153,15286,Sep-2011,21.784313725490197,1.4244406646604737,30.0,0.0019785002967750444,505.43333333333334,719.9597932748921,-6173,0.0,33.05
2011-10-01,25087,6193,8671,68,15338,Oct-2011,91.07352941176471,1.6356109010301212,16.0,0.0010467094073007982,955.375,1562.621764571652,-10223,0.0,17.16
2011-11-01,19339,6150,8163,134,15461,Nov-2011,45.8955223880597,1.2508246555850204,11.0,0.0007171730342939106,1394.3636363636363,1744.104415214822,-5026,0.0,38.0
2011-12-01,21589,4711,16656,57,15499,Dec-2011,82.64912280701755,1.3929285760371637,19.0,0.0012288985188538904,813.7368421052632,1133.4773007426627,-222,0.0,13.71
2012-01-01,28895,6853,19234,77,15552,Jan-2012,89.0,1.8579603909465021,24.0,0.0015484869991612361,645.7916666666667,1199.8553374699934,-2808,0.0,13.48
2012-02-01,25708,6501,12592,54,15584,Feb-2012,120.38888888888889,1.6496406570841888,22.0,0.0014146090534979425,706.9090909090909,1166.1459772260594,-6615,0.0,9.69
2012-03-01,27043,3785,12795,194,15760,Mar-2012,19.510309278350515,1.7159263959390862,18.0,0.0011550308008213552,865.7777777777778,1485.6109419063735,-10463,0.0,76.14
2012-04-01,12811,2750,18634,150,15897,Apr-2012,18.333333333333332,0.805875322387872,13.0,0.0008248730964467005,1212.3076923076924,976.9688523717587,8573,11.7,53.29
2012-05-01,24243,3762,12798,167,16043,May-2012,22.526946107784433,1.5111263479399115,21.0,0.001321003963011889,757.0,1143.922645390513,-7683,0.0,50.78
2012-06-01,16546,5920,14036,196,16220,Jun-2012,30.20408163265306,1.020098643649815,19.0,0.0011843171476656486,844.3684210526316,861.3390810565253,3410,29.3,28.52
2012-07-01,11986,6460,10355,113,16318,Jul-2012,57.16814159292036,0.7345262899865179,15.0,0.0009247842170160296,1081.3333333333333,794.267761572088,4829,20.7,13.89
2012-08-01,18338,2481,13887,140,16433,Aug-2012,17.72142857142857,1.115925272317897,25.0,0.0015320504963843608,652.72,728.3867437473377,-1970,0.0,41.1
2012-09-01,21411,2153,15961,166,16587,Sep-2012,12.96987951807229,1.290830168204015,12.0,0.000730237935860768,1369.4166666666665,1767.6843461747148,-3297,0.0,136.29
2012-10-01,12911,3524,18749,147,16715,Oct-2012,23.972789115646258,0.7724199820520491,19.0,0.001145475372279496,873.0,674.3226443314388,9362,10.7,28.13
2012-11-01,11734,4120,13827,60,16761,Nov-2012,68.66666666666667,0.7000775610047133,14.0,0.0008375710439724798,1193.9285714285713,835.8426022995559,6213,16.1,12.17
2012-12-01,28227,4343,16737,103,16843,Dec-2012,42.16504854368932,1.6758890933919135,21.0,0.0012529085376767495,798.1428571428572,1337.5989092543746,-7147,0.0,31.72
2013-01-01,18680,3240,12719,96,16910,Jan-2013,33.75,1.1046717918391484,29.0,0.0017217835302499554,580.7931034482759,641.5857582740268,-2721,0.0,19.01
2013-02-01,29360,2060,8593,189,17086,Feb-2013,10.899470899470899,1.7183659136134848,13.0,0.000768775872264932,1300.7692307692307,2235.197507631079,-18707,0.0,205.07
2013-03-01,28343,2938,12839,198,17266,Mar-2013,14.83838383838384,1.6415498667902235,18.0,0.0010534940887276132,949.2222222222223,1558.195612443209,-12566,0.0,105.01
2013-04-01,15759,3639,15394,188,17439,Apr-2013,19.356382978723403,0.9036642009289524,15.0,0.0008687594115602919,1151.0666666666666,1040.1777395492861,3274,30.5,53.74
2013-05-01,12385,6120,19996,54,17479,May-2013,113.33333333333333,0.7085645631901138,14.0,0.0008027983255920638,1245.642857142857,882.6183869623139,13731,7.3,7.79
2013-06-01,21111,6226,17651,69,17524,Jun-2013,90.23188405797102,1.2046907098835882,24.0,0.0013730762629441044,728.2916666666666,877.3662049189682,2766,36.2,9.72
2013-07-01,14736,5569,11493,95,17598,Jul-2013,58.62105263157895,0.8373678827139448,21.0,0.0011983565396028303,834.4761904761905,698.7635607942461,2326,43.0,11.92
2013-08-01,11802,3252,18793,61,17641,Aug-2013,53.31147540983606,0.6690096933280426,18.0,0.0010228435049437436,977.6666666666667,654.0684768437163,10243,9.8,12.27
